Rank;Name;URL;;;;;;;;;;;
1;Enhancing Polymer Interlayer Bonding with Laser Preheating;https://research.tue.nl/en/studentTheses/enhancing-polymer-interlayer-bonding-with-laser-preheating/;;;;;;;;;;;
2;Performance characteristics of a truck based on;https://research.tue.nl/en/studentTheses/performance-characteristics-of-a-truck-based-on/;;;;;;;;;;;
3;Real-Time Simulation of Elastoplastic Contact Using Convolutional Autoencoders and LSTM Networks;https://research.tue.nl/en/studentTheses/real-time-simulation-of-elastoplastic-contact-using-convolutional/;;;;;;;;;;;
4;Modeling of Cable Slab Hysteresis with Nonlinear Beam Elements;https://research.tue.nl/en/studentTheses/modeling-of-cable-slab-hysteresis-with-nonlinear-beam-elements/;;;;;;;;;;;
5;Compressive failure of 2D woven composites;https://research.tue.nl/en/studentTheses/compressive-failure-of-2d-woven-composites/;;;;;;;;;;;
6;Elektriciteitsopwekking door snelle oxydatie van organisch materiaal in superkritiek water;https://research.tue.nl/en/studentTheses/elektriciteitsopwekking-door-snelle-oxydatie-van-organisch-materi/;;;;;;;;;;;
7;Predicting the microstructure of Inconel 718 in metal additive manufacturing;https://research.tue.nl/en/studentTheses/predicting-the-microstructure-of-inconel-718-in-metal-additive-ma/;;;;;;;;;;;
8;Het stads-huis van Den Haag : een ontwerp naar aanleiding van de prijsvraag;https://research.tue.nl/en/studentTheses/het-stads-huis-van-den-haag-een-ontwerp-naar-aanleiding-van-de-pr/;;;;;;;;;;;
9;Computational analysis of crack deflection at a bi-material interface by means of initially rigid and elastic mixed-mode traction-separation laws;https://research.tue.nl/en/studentTheses/computational-analysis-of-crack-deflection-at-a-bi-material-inter/;;;;;;;;;;;
10;The effect of acidosis on osteoclastic bone resorption in 3D in vitro;https://research.tue.nl/en/studentTheses/the-effect-of-acidosis-on-osteoclastic-bone-resorption-in-3d-in-v/;;;;;;;;;;;
11;Designing buildings with less load on earth's environment;https://research.tue.nl/en/studentTheses/designing-buildings-with-less-load-on-earths-environment/;;;;;;;;;;;
12;Impact analysis of the Lightyear One solar hood;https://research.tue.nl/en/studentTheses/impact-analysis-of-the-lightyear-one-solar-hood/;;;;;;;;;;;
13;Regulation of osteoclastic activity in an osteoblast/osteoclast co-culture;https://research.tue.nl/en/studentTheses/regulation-of-osteoclastic-activity-in-an-osteoblastosteoclast-co/;;;;;;;;;;;
14;Ideality factor determination in mixed halide triple cation perovskite solar cells;https://research.tue.nl/en/studentTheses/ideality-factor-determination-in-mixed-halide-triple-cation-perov/;;;;;;;;;;;
15;Flexible and printable 0-3 piezoelectric composites for sensor applications;https://research.tue.nl/en/studentTheses/flexible-and-printable-0-3-piezoelectric-composites-for-sensor-ap/;;;;;;;;;;;
16;The Location of Defects in n-i-p Perovskite Solar Cells;https://research.tue.nl/en/studentTheses/the-location-of-defects-in-n-i-p-perovskite-solar-cells/;;;;;;;;;;;
17;Data-driven computational uncertainty quantification of geothermal systems;https://research.tue.nl/en/studentTheses/data-driven-computational-uncertainty-quantification-of-geotherma/;;;;;;;;;;;
18;A multiscale approach to the Stokes-Biot interface problem;https://research.tue.nl/en/studentTheses/a-multiscale-approach-to-the-stokes-biot-interface-problem/;;;;;;;;;;;
19;Towards the theoretical efficiency limit;https://research.tue.nl/en/studentTheses/towards-the-theoretical-efficiency-limit/;;;;;;;;;;;
20;3D human osteoblast - osteoclast in vitro co-culture;https://research.tue.nl/en/studentTheses/3d-human-osteoblast-osteoclast-in-vitro-co-culture/;;;;;;;;;;;
1;A Better Understanding Towards Smoothed Particle Hydrodynamics Simulations in Laser Powder Bed Fusion;https://research.tue.nl/en/studentTheses/a-better-understanding-towards-smoothed-particle-hydrodynamics-si/;;;;;;;;;;;
2;The analysis of Hertzian cone cracking in anisotropic solids applying different boundary conditions;https://research.tue.nl/en/studentTheses/the-analysis-of-hertzian-cone-cracking-in-anisotropic-solids-appl/;;;;;;;;;;;
3;Physics-based non-local continuum model of a honeycomb impact barrier;https://research.tue.nl/en/studentTheses/physics-based-non-local-continuum-model-of-a-honeycomb-impact-bar/;;;;;;;;;;;
4;Thermomechanical modelling of thin walled cylinders in FDM printing;https://research.tue.nl/en/studentTheses/thermomechanical-modelling-of-thin-walled-cylinders-in-fdm-printi/;;;;;;;;;;;
5;Development of a numerical tool to model the thermomechanical behavior and evolution of ceramic matrix composite microstructures using periodic RVE cells;https://research.tue.nl/en/studentTheses/development-of-a-numerical-tool-to-model-the-thermomechanical-beh/;;;;;;;;;;;
6;Data-driven homogenization of heterogeneous micro-structures using neural networks;https://research.tue.nl/en/studentTheses/data-driven-homogenization-of-heterogeneous-micro-structures-usin/;;;;;;;;;;;
7;On the efficient modelling of delamination in layered structures using isogeometric continuum shell elements;https://research.tue.nl/en/studentTheses/on-the-efficient-modelling-of-delamination-in-layered-structures-/;;;;;;;;;;;
8;Structural topology optimisation under thermo-mechanical loading conditions;https://research.tue.nl/en/studentTheses/structural-topology-optimisation-under-thermo-mechanical-loading-/;;;;;;;;;;;
9;Testing Validating Microstructure Evolution Theories during Sintering of Ceramics;https://research.tue.nl/en/studentTheses/testing-validating-microstructure-evolution-theories-during-sinte/;;;;;;;;;;;
10;Multiphysics modelling of Ionic Polymer-Metal Composite actuators with the Finite Element Method;https://research.tue.nl/en/studentTheses/multiphysics-modelling-of-ionic-polymer-metal-composite-actuators/;;;;;;;;;;;
11;Predicition of delamination during FDM printing by means of a Bayesian Network;https://research.tue.nl/en/studentTheses/predicition-of-delamination-during-fdm-printing-by-means-of-a-bay/;;;;;;;;;;;
12;Developing a flexible, adjustable and extendable DEM simulation framework for AM;https://research.tue.nl/en/studentTheses/developing-a-flexible-adjustable-and-extendable-dem-simulation-fr/;;;;;;;;;;;
13;Efficient modelling of failure in layered composites;https://research.tue.nl/en/studentTheses/efficient-modelling-of-failure-in-layered-composites/;;;;;;;;;;;
14;An efficient non-local continuum model for crushing of aluminum honeycomb impact barriers;https://research.tue.nl/en/studentTheses/an-efficient-non-local-continuum-model-for-crushing-of-aluminum-h/;;;;;;;;;;;
15;Additive manufacturing of opaque ceramics;https://research.tue.nl/en/studentTheses/additive-manufacturing-of-opaque-ceramics/;;;;;;;;;;;
16;Modelling Hertzian cone cracks with a partition of unity based cohesive zone model;https://research.tue.nl/en/studentTheses/modelling-hertzian-cone-cracks-with-a-partition-of-unity-based-co/;;;;;;;;;;;
17;Machine Learning-Based Prediction of Temperature Evolution in Additive Manufacturing Processes;https://research.tue.nl/en/studentTheses/machine-learning-based-prediction-of-temperature-evolution-in-add/;;;;;;;;;;;
18;Design of a quasi-passive exoskeleton for infantry combat operations and the evaluation of the impact performance of a novel intraply hybrid composite;https://research.tue.nl/en/studentTheses/design-of-a-quasi-passive-exoskeleton-for-infantry-combat-operati/;;;;;;;;;;;
19;Real-Time Simulation of Plastic Deformation Using Long Short-Term Memory Multi-Task Neural Networks;https://research.tue.nl/en/studentTheses/real-time-simulation-of-plastic-deformation-using-long-short-term/;;;;;;;;;;;
20;The finite strain cohesive band model for the simulation of compressive failure;https://research.tue.nl/en/studentTheses/the-finite-strain-cohesive-band-model-for-the-simulation-of-compr/;;;;;;;;;;;
21;Electro-mechanical properties and application performance of additive manufactured alumina;https://research.tue.nl/en/studentTheses/electro-mechanical-properties-and-application-performance-of-addi/;;;;;;;;;;;
22;Microscopic investigation of stress triaxiality of interface fractures;https://research.tue.nl/en/studentTheses/microscopic-investigation-of-stress-triaxiality-of-interface-frac/;;;;;;;;;;;
23;On the influence of extrusion pattern in additive manufacturing;https://research.tue.nl/en/studentTheses/on-the-influence-of-extrusion-pattern-in-additive-manufacturing/;;;;;;;;;;;
24;Reduced Order Modelling for Digital Twins of next-generation Medical Devices;https://research.tue.nl/en/studentTheses/reduced-order-modelling-for-digital-twins-of-next-generation-medi/;;;;;;;;;;;
25;Optimizing in-house Finite Element Method Software for efficient large-scale Additive Manufacturing simulations;https://research.tue.nl/en/studentTheses/optimizing-in-house-finite-element-method-software-for-efficient-/;;;;;;;;;;;
26;Multiphysical Modeling and Control of Photopolymerization for Additive Manufacturing;https://research.tue.nl/en/studentTheses/multiphysical-modeling-and-control-of-photopolymerization-for-add/;;;;;;;;;;;
27;Manufacturing the Next Generation of Fibre Reinforced Ceramic Materials;https://research.tue.nl/en/studentTheses/manufacturing-the-next-generation-of-fibre-reinforced-ceramic-mat/;;;;;;;;;;;
28;Framework for determination of fracture toughness parameters of in-homogeneous bonded interfaces;https://research.tue.nl/en/studentTheses/framework-for-determination-of-fracture-toughness-parameters-of-i/;;;;;;;;;;;
29;The cohesive zone method for the prediction of inter- and intragranular cracks in polycrystalline silicon;https://research.tue.nl/en/studentTheses/the-cohesive-zone-method-for-the-prediction-of-inter-and-intragra/;;;;;;;;;;;
30;Physics-Driven Machine Learning for Real-Time Simulations of Medical Devices;https://research.tue.nl/en/studentTheses/physics-driven-machine-learning-for-real-time-simulations-of-medi/;;;;;;;;;;;
